effacer;to erase;verb;;;
lancer;to launch;verb;;;
menacer;to threaten;verb;;;
placer;to place;verb;;;
prononcer;to pronounce;verb;;;
renoncer;to renounce;verb;;;
replacer;to replace;verb;;;
appuyer;to support;verb;;;
balayer;to sweep;verb;;;
effrayer;to frighten;verb;;;
employer;to use;verb;;;
ennuyer;to wipe;verb;;;
envoyer;to send;verb;;;
essayer;to try;verb;;;
essuyer;to dry;verb;;;
nettoyer;to clean;verb;;;
noyer;to drown;verb;;;
payer;to pay;verb;;;
rayer;to strike;verb;;;
renvoyer;to return;verb;;;
tutoyer;to address as « tu »;verb;;;
vouvoyer;to address as « vous »;verb;;;
acheter;to buy;verb;;;
amener;to bring;verb;;;
emmener;to take;verb;;;
enlever;to remove;verb;;;
geler;to freeze;verb;;;
lever;to lift;verb;;;
mener;to carry;verb;;;
peser;to weigh;verb;;;
promener;to walk;verb;;;
appeler;to call;verb;;;
épeler;to spell;verb;;;
feuilleter;to browse;verb;;;
jeter;to throw;verb;;;
projeter;to project;verb;;;
rappeler;to remember;verb;;;
rejeter;to reject;verb;;;
renouveler;to renew;verb;;;
céder;to yield;verb;;;
célébrer;to celebrate;verb;;;
compléter;to complete;verb;;;
espérer;to hope;verb;;;
préférer;to prefer;verb;;;
protéger;to protect;verb;;;
refléter;to reflect;verb;;;
répéter;to repeat;verb;;;
révéler;to reveal;verb;;;
aller;to go;verb;;;
apprendre;to learn;verb;;;
avoir;to have;verb;;;
comprendre;to understand;verb;;;
devenir;to become;verb;;;
devoir;to have to;verb;;;
dire;to say;verb;;;
dormir;to sleep;verb;;;
être;to be;verb;;;
faire;to do, make;verb;;;
lire;to read;verb;;;
maintenir;to maintain;verb;;;
partir;to leave;verb;;;
pouvoir;to be able to;verb;;;
prendre;to take;verb;;;
retenir;to hold back;verb;;;
revenir;to return;verb;;;
savoir;to know (as in a fact);verb;;;
sortir;to exit, go out;verb;;;
surprendre;to surprise;verb;;;
tenir;to keep, hold;verb;;;
venir;to come;verb;;;
vouloir;to want;verb;;;
Je m'appelle;My name is;phrase;0;;
Je suis de;I am from;phrase;0;;
Je suis étudiant en|Je suis étudiante en;I am a student in;phrase;0;;
Il s'appelle;His name is;phrase;0;;
Elle s'appelle;Her name is;phrase;0;;
Il est de;He is from;phrase;0;;
Elle est de;She is from;phrase;0;;
Il est étudiant en;He is a student in;phrase;0;;
Elle est étudiante en;She is a student in;phrase;0;;
le commerce;business;noun;0;m;
la comptabilité;accounting;noun;0;f;
les langues;languages;noun;0;f;p
l'anglais;English;noun;0;m;
le français;French;noun;0;m;
l'espagnol;Spanish;noun;0;m;
la littérature;literature;noun;0;f;
l'histoire;history;noun;0;f;
la géographie;geography;noun;0;f;
les sciences politiques;political science;noun;0;f;p
les mathématiques|les maths;mathematics;noun;0;f;p
la science;science;noun;0;f;
la biologie;biology;noun;0;f;
la chimie;chemistry;noun;0;f;
l'informatique;computer science;noun;0;f;
la musique;music;noun;0;f;
la philosophie;philosophy;noun;0;f;
la psychologie;psychology;noun;0;f;
le cafard;cockroach;noun;0;m;
le chat|la chatte;cat;noun;0;;
la minette;kitty;noun;0;f;
l'écrureuil;squirrel;noun;0;m;
l'escargot;snail;noun;0;m;
la fourmi;ant;noun;0;f;
le tatou;armadillo;noun;0;m;
Bonjour;Good day, Hello;phrase;1;;
Bonsoir;Good evening;phrase;1;;
Au revoir;Good bye;phrase;1;;
Salut;Hi (informal);phrase;1;;
À tout à l'heure;See you in a little while;phrase;1;;
À ce soir;See you this evening;phrase;1;;
À demain;See you tomorrow;phrase;1;;
À bientôt;See you soon;phrase;1;;
Comment vous appelez-vous?;What is your name? (formal);phrase;1;;
Comment tu t'appelles?|Comment t'appelles-tu?;What is your name? (informal);phrase;1;;
Comment allez-vous?;How are you? (formal);phrase;1;;
Comment vas-tu?;How are you? (informal);phrase;1;;
Merci;Thank you;phrase;1;;
Je vais très bien;I am doing very well;phrase;1;;
Je vais bien;I am doing well;phrase;1;;
Pas mal;Not bad;phrase;1;;
Comment ça va?;How are things going?;phrase;1;;
Ça va?|Ça va bien?;Are things going well?;phrase;1;;
Ça va|Ça va bien;Things are going well;phrase;1;;
Et vous?;And you? (formal);phrase;1;;
Et toi?;And you? (informal);phrase;1;;
Vous êtes d'où?;Where are you from? (formal);phrase;1;;
Tu es d'où?;Where are you from? (informal);phrase;1;;
Je vous présente;I introduce to you (formal);phrase;1;;
Je te présente;I introduce to you (informal);phrase;1;;
Qui est-ce?;Who is it?;phrase;1;;
C'est|Voici;This is, that is, it is;phrase;1;;
Ce sont;They are;phrase;1;;
Comment s'appelle-t-il?;What is his name?;phrase;1;;
Comment s'appelle-t-elle?;What is her name?;phrase;1;;
Comment s'appellent-ils?|Comment s'appellent-elles?;What are their names?;phrase;1;;
l'acteur;actor;noun;1;m;
l'actrice;actress;noun;1;f;
l'architecte;architect;noun;1;;
le chanteur;singer (male);noun;1;m;
la chanteuse;singer (female);noun;1;f;
le coiffeur;barber, hairdresser (male);noun;1;m;
la coiffeuse;barber, hairdresser (female);noun;1;f;
le dentiste|la dentiste;dentist;noun;1;;
l'ingénieur;engineer;noun;1;m;
le journaliste|la journaliste;journalist;noun;1;;
le médecin;doctor;noun;1;m;
le professeur;teacher, professor;noun;1;m;
le retraité;retiree (male);noun;1;m;
la retraitée;retiree (female);noun;1;f;
le stagiaire|la stagiaire;intern;noun;1;;
Qu'est-ce que c'est?;What is it?;phrase;1;;
la salle de classe;classroom;noun;1;f;
la porte;door;noun;1;f;
la fenêtre;window;noun;1;f;
le tableau|le tableau noir;blackboard;noun;1;m;
la télévision;television;noun;1;f;
la carte|la carte du monde;map (of the world);noun;1;f;
l'affiche;poster;noun;1;f;
la chaise;chair;noun;1;f;
le bureau;desk;noun;1;m;
la craie;chalk;noun;1;f;
le crayon;crayon;noun;1;m;
le stylo;pen;noun;1;m;
le cahier;notebook;noun;1;m;
le livre;book;noun;1;m;
le dictionnaire;dictionary;noun;1;m;
le sac à dos;backpack;noun;1;m;
le labo;lab;noun;1;m;
l'ordinateur;computer;noun;1;m;
l'étudiant;student (male);noun;1;m;
l'étudiante;student (female);noun;1;f;
le devoir|les devoirs;homework;noun;1;m;
l'exercise;homework exercise;noun;1;m;
l'examen;test, exam;noun;1;m;
S'il vous plaît;Please;phrase;1;;
Oui;Yes;phrase;1;;
Non;No;phrase;1;;
Voici;Here is, Here are;phrase;1;;
Voilà|Il y a;There is, There are;phrase;1;;
un|une;one (number);number;1;;
deux;two;number;1;;
trois;three;number;1;;
quatre;four;number;1;;
cinq;five;number;1;;
six;six;number;1;;
sept;seven;number;1;;
huit;eight;number;1;;
neuf;nine;number;1;;
dix;ten;number;1;;
onze;eleven;number;1;;
douze;twelve;number;1;;
treize;thirteen;number;1;;
quatorze;fourteen;number;1;;
quinze;fifteen;number;1;;
seize;sixteen;number;1;;
dix-sept;seventeen;number;1;;
dix-huit;eighteen;number;1;;
dix-neuf;nineteen;number;1;;
vingt;twenty;number;1;;
vingt et un;twenty-one;number;1;;
vingt-deux;twenty-two;number;1;;
vingt-trois;twenty-three;number;1;;
vingt-quatre;twenty-four;number;1;;
vingt-cinq;twenty-five;number;1;;
vingt-six;twenty-six;number;1;;
vingt-sept;twenty-seven;number;1;;
vingt-huit;twenty-eight;number;1;;
vingt-neuf;twenty-nine;number;1;;
trente;thirty;number;1;;
quarante;forty;number;1;;
cinquante;fifty;number;1;;
soixante;sixty;number;1;;
le calendrier;calendar;noun;1;m;
le jour;day;noun;1;m;
lundi;Monday;time;1;;
mardi;Tuesday;time;1;;
mercredi;Wednesday;time;1;;
jeudi;Thursday;time;1;;
vendredi;Friday;time;1;;
samedi;Saturday;time;1;;
dimanche;Sunday;time;1;;
la date;date (as in time);noun;1;f;
aujourd'hui;today;adverb;1;;
demain;tomorrow;adverb;1;;
la semaine;week;noun;1;f;
la semaine prochaine;next week;noun;1;f;
la semaine dernière;last week;noun;1;f;
le mois;month;noun;1;m;
janvier;January;time;1;;
février;February;time;1;;
mars;March;time;1;;
avril;April;time;1;;
mai;May;time;1;;
juin;June;time;1;;
juillet;July;time;1;;
août;August;time;1;;
septembre;September;time;1;;
octobre;October;time;1;;
novembre;November;time;1;;
décembre;December;time;1;;
